#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'F','110213','HangGlider','JuerRue','JUR','Y','Y'
'F','110230','Paraglider','8454','BKO','Y','Y'
'F','110238','','','','Y','N'
'F','110244','HangGlider','MaWe','MaW','Y','Y'
'F','110248','Paraglider','KLMA','','Y','Y'
'F','110251','Paraglider','Tomgarl','TM','Y','Y'
'F','110255','Paraglider','Peter S','PSi','Y','Y'
'F','110257','Paraglider','Peter M','PMI','Y','Y'
'F','110258','Paraglider','KBW','','Y','Y'
'F','11025A','','','','Y','N'
'O','11025C','','','','Y','N'
'F','110265','Paraglider','26949','Alf','Y','Y'
'F','110268','Paraglider','Martin','M.D','Y','Y'
'F','110269','Paraglider','Mattias','MR1','Y','Y'
'O','11026D','Paraglider','JERG','','Y','Y'
'F','110278','Paraglider','fiaskog','Kai','Y','Y'
'F','110280','Paraglider','Heinz','Erb','Y','Y'
'F','110281','HangGlider','SHV9730','','Y','Y'
'F','110282','Paraglider','CH38848','Adi','Y','Y'
'F','110284','Paraglider','48651','Urs','Y','Y'
'F','110297','Paraglider','1234','','Y','Y'
'F','110298','Cirrus Std','XQN','C13','Y','Y'
'F','110299','Paraglider','Utz','URW','Y','Y'
'F','1102A5','Paraglider','FO','A5','Y','Y'
'F','1102A6','Paraglider','tvo','tvo','Y','Y'
'F','1102A7','Paraglider','NGunkel','NGU','Y','Y'
'F','1102AE','Paraglider','Tim Bek','TMB','Y','Y'
'F','1102AF','Paraglider','Alex','ARE','Y','Y'
'F','1102B8','Paraglider','50165','','Y','Y'
'F','1102BD','Paraglider','paralex','','Y','Y'
'F','1102C1','Paraglider','T.Elste','ToE','Y','Y'
'F','1102C9','Paraglider','','','Y','Y'
'O','1102DB','Paraglider','WDP','','Y','Y'
'F','1102DD','Paraglider','OMP590','','Y','Y'
'F','1102E5','Paraglider','RonnyS','309','Y','Y'
'F','1102E7','Paraglider','','','Y','Y'
'F','1102F0','Paraglider','Mi.Mo','MMO','Y','Y'
'F','1102F1','Paraglider','Thomas','TRO','Y','Y'
'F','1102F3','Paraglider','Juergen','JGO','Y','Y'
'F','1102F7','Paraglider','D-NCDP','','Y','Y'
'O','1102FB','Paraglider','Nom','Nom','Y','Y'
'F','110308','Paraglider','-','JuV','Y','Y'
'O','110315','Paraglider','FuFritz','488','Y','Y'
'F','110318','Paraglider','JensR','JR','Y','Y'
'F','11031B','Paraglider','D-NCOE','380','Y','Y'
'F','110330','Paraglider','DNSLA','SLA','Y','Y'
'F','110331','Paraglider','Joggi','','Y','Y'
'F','110338','Paraglider','DG0606','PCS','Y','Y'
'F','110339','Paraglider','ChDaus','CDA','Y','Y'
'F','11033A','Paraglider','H5Maikl','H5M','Y','Y'
'F','11033D','Paraglider','','','Y','Y'
'F','110345','HangGlider','Ralf','RTB','Y','Y'
'F','110347','Paraglider','MRU','MRU','Y','Y'
'F','110348','Paraglider','PeFr','PeF','Y','Y'
'F','110349','Paraglider','58402','','Y','Y'
'F','11034D','Paraglider','Gerhard','GB','Y','Y'
'F','110352','Paraglider','Clele','CB','Y','Y'
'F','110353','Paraglider','CH45116','IrB','Y','Y'
'O','110356','Paraglider','Thermgk','SiK','Y','Y'
'F','11037F','Paraglider','','','Y','Y'
'F','110384','Paraglider','','','Y','Y'
'F','110387','Paraglider','','','Y','Y'
'F','110388','Paraglider','','','Y','Y'
'F','11038A','Paraglider','','','Y','Y'
'F','110393','Paraglider','','393','Y','Y'
'F','110397','HangGlider','xmikex','xa3','Y','Y'
'F','1103B5','Paraglider','Thomas','','Y','Y'
'F','1103B6','Parrot Bebop','1103B6','','Y','Y'
'F','1103BC','Paraglider','TM','TOM','Y','Y'
'F','1103C2','Paraglider','','','Y','Y'
'F','1103C6','HangGlider','5185','','Y','Y'
'F','1103CC','Paraglider','LimaVic','LV','Y','Y'
'F','1103CE','Paraglider','Cumeo','','Y','Y'
'F','1103D2','HangGlider','','rbe','Y','Y'
'F','1103D5','HangGlider','shv7777','WiG','Y','Y'
'F','1103D6','HangGlider','D-MDWM','','Y','Y'
'F','1103D9','Paraglider','ECKI','','Y','Y'
'F','1103DE','Paraglider','Gunther','GHa','Y','Y'
'F','1103E2','Paraglider','Epsilon','OlH','Y','Y'
'F','1103E5','Paraglider','32790','RiB','Y','Y'
'F','1103F0','Paraglider','TLI','tli','Y','Y'
'F','1103FA','Paraglider','brichi6','rht','Y','Y'
'O','110406','Paraglider','110406','','Y','Y'
'F','11040B','Paraglider','Carsten','CHo','Y','Y'
'F','11043C','Paraglider','Stefan','','Y','Y'
'F','110461','Paraglider','DMVWW','','Y','Y'
'F','110464','Paraglider','KLAU','','Y','Y'
'F','11046D','Paraglider','Lewi','','Y','Y'
'F','11046E','Paraglider','','','Y','Y'
'O','11047F','','','','Y','N'
'F','110482','Paraglider','Niklas','lem','Y','Y'
'F','110483','Paraglider','Robin M','ROB','Y','Y'
'F','110485','Paraglider','Karsten','','Y','Y'
'F','110487','Paraglider','Engler','CHE','Y','Y'
'F','1104A3','Paraglider','','','Y','Y'
'F','1104A8','','','','Y','N'
'F','1104BD','Paraglider','CH54691','RoC','Y','Y'
'F','1104BE','','','','Y','N'
'F','1104C7','HangGlider','','PD','Y','Y'
'F','1104D3','Paraglider','Raffl M','RAM','Y','Y'
'F','110503','Paraglider','Adi Hun','024','Y','Y'
'F','110509','Paraglider','54158','ANC','Y','Y'
'F','110511','Paraglider','Michael','MPR','Y','Y'
